n,bubble,selection,insertion,merge,quick,default,stream
5650,102571962,21465331,26553864,1631631,858706,1184245,1431171
5700,103144565,21090048,23688658,1952616,1110760,1225760,1794963
5750,93452737,21506810,22774458,1780790,886027,1146675,1533340
5800,124555329,32927836,29710091,1437033,733686,941791,1097994
5850,163301900,23092333,49469265,2477626,1399142,1353264,1431944
5900,100104956,26364681,27138115,1903935,1160807,1107522,1272541
5950,100228853,23348333,25899763,2047878,914498,1374457,1599438
6000,114310122,23495035,25461076,2446500,1091367,1124419,1338909
6050,102445402,23956428,27262750,3872313,1503199,1131553,1269750
6100,155105838,31052610,34199801,1892314,1259072,1717343,2201110
6150,143370290,30834283,24153631,2190373,2243166,1697062,1597014
6200,144257308,30903265,24830165,1961703,1037660,1861607,1772568
6250,158729447,32625619,25988868,1802305,886025,1119925,1323985
6300,244848326,32479279,56750377,2757647,1573608,1463508,1546068
6350,157595989,33019139,30572316,2221098,1136230,1372367,1394629
6400,161671221,33988045,68305029,5123769,2394021,4727930,4651956
6450,369751520,125701666,103856934,4260603,1728957,2563642,3336551
6500,235227637,37373227,26377268,1993782,959162,1528877,1488334
6550,170963099,39104984,31656696,2029131,1275937,1356337,1423013
6600,145167365,90993203,31255155,2409371,1010826,1423408,1347478
6650,134880593,84384279,31522233,2675707,1147500,1532894,1473711
6700,145895707,85905032,30950534,2143834,1322144,1165392,1252395
6750,141567075,90091938,32161874,2133488,994347,1361194,1395367
6800,142810075,91545509,31362598,2380163,1062876,1610884,1526323
6850,131570010,89352578,29583603,2523989,1319746,1593035,1633706
6900,129853212,93176774,33402731,2349636,1400234,1461466,1682854
6950,136435736,105870466,30698862,2223504,1257305,1571864,1652463
7000,151435480,99750551,35072557,2603939,1374041,1599673,1413433
7050,145631056,98406205,38248880,2830408,1272705,1717689,1508410
7100,164599375,108102391,34684624,2469516,1491703,1861044,2369289
7150,181654702,100614587,37256240,2300753,1240495,1445229,1575846
7200,143863651,97193253,32519121,2429582,1148409,1379128,1581025
7250,161202500,101796705,44626788,2176250,1223471,1355641,2266029
7300,206373649,105399817,61980886,2364527,1139995,1463984,1593121
7350,240204439,108684813,67807604,4060186,1668437,1399124,1629171
7400,162837075,103510870,51294596,2185239,1047510,1375852,1556826
7450,182929953,129243998,45484138,2773725,1087860,1652013,1528673
7500,164919682,106991883,38435772,2218340,1262881,1438219,1532082
7550,169583428,111727901,54489026,2665753,1086427,1452267,1549875
7600,188585895,109142213,38896273,2394800,1152133,1491108,1847556
7650,161764781,110547668,36936380,2639315,1226966,1498628,1628309
7700,175987926,123966209,57541868,2279293,1153671,1484882,2034924
7750,175407410,114666384,42415075,2262754,1385761,1436093,1678967
7800,247225938,115424855,75791569,3194743,1602906,1626979,1620350
7850,179994495,121589447,39205981,3770419,1297833,1434650,1654710
7900,184401468,122620236,39342849,2399228,1405277,1731751,1949015
7950,180101617,121312754,43045684,2391469,1416474,1510788,2159700
8000,198237998,122710876,41476458,2734029,1314568,1655338,1619534
8050,213810276,129872714,46833444,4392144,1318750,1607611,1823384
8100,199219480,154668964,59554079,2261110,1626405,1622874,1747425
8150,223466414,133650669,48298184,2488966,1450336,1633478,1666165
8200,216259100,136996203,44838604,2219184,1111986,1504096,1908585
8250,239513672,131311756,101780426,3516018,1498833,1916865,2851341
8300,285191135,183899837,46320111,2218164,1253500,1407663,2019424
8350,220658999,130750810,46942114,2472771,1564052,1643024,1700399
8400,223235823,131135399,58526331,2271393,1331697,1628052,1687386
8450,207849718,138332487,46672108,2571744,1542753,2143821,2717938
8500,217106665,135702239,60852859,2418592,1489625,1775575,1866537
8550,208023191,146096260,64381048,1913762,1114318,1388052,1643945
8600,241163436,143785658,57826120,2289989,1249917,1595704,1761349
8650,219255200,143731317,52206598,2469467,1234572,1443079,2025620
8700,251198116,146329365,53474080,2329358,1389418,1840653,1891699
8750,356303409,143913039,103465811,8613677,3400800,1699744,2151174
8800,236398022,145437532,61595372,2498108,1361712,1876109,1732610
8850,230975370,146334242,61723861,2356910,1143275,1475118,1710708
8900,330989416,147144891,83233623,2993799,1489342,1509081,1616673
8950,240263129,153720462,58521067,2393575,1252882,1756548,2174652
